heightInches,pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerMinute,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-3P)
77,0.02799999999999999,0.101,0.055,0.013,0.008,0.115,10.6,0.145,8.9,0.237,0.817,8.8,0.456,0.402,0.534,0.357,0.654,0.93,0.003,0.24,0.023,0.38
86,0.062,0.142,0.02799999999999999,0.021,0.027,0.129,13.8,0.242,7,0.406,0.714,13.6,0.373,0,0.72,0.029,0,0,0.058,0.174,0.159,0.637
83,0.095,0.156,0.093,0.01399999999999999,0.02,0.08,17.6,0.237,19.1,0.269,0.781,14.9,0.489,0.25,0.567,0.023,0.643,1,0.098,0.245,0.211,0.522
80,0.069,0.123,0.095,0.011,0.034,0.156,14,0.209,10.1,0.339,0.699,12.3,0.432,0.348,0.709,0.188,0.37,0.938,0.061,0.302,0.094,0.417
82,0.068,0.145,0.095,0.006,0.017,0.1,9.7,0.154,7.3,0.124,0.476,10.6,0.432,0,0.753,0.006,0,0,0.029,0.176,0.076,0.741
77,0.02899999999999999,0.086,0.126,0.013,0.004,0.104,17.9,0.208,17.3,0.239,0.952,13,0.542,0.409,0.54,0.467,0.379,0.925,0.003,0.188,0.058,0.28700000000000003
76,0.032,0.107,0.12,0.032,0.021,0.188,14.6,0.215,12.9,0.384,0.725,11.5,0.51,0.222,0.519,0.095,0.407,1,0.063,0.585,0.173,0.14800000000000002
74,0.016,0.08800000000000001,0.27,0.023,0.003,0.133,13.2,0.199,13.8,0.254,0.75,12.1,0.417,0.338,0.118,0.404,0.097,0.804,0,0.279,0.14,0.177
81,0.149,0.153,0.037,0.015,0.046,0.156,11.1,0.151,13.3,0.48,0.442,8.6,0.538,0,0.701,0.004,0,0,0.168,0.728,0.164,0.104
82,0.134,0.21600000000000005,0.032,0.01399999999999999,0.093,0.157,11.1,0.134,18.1,0.62,0.718,7.2,0.56,0.2,0.639,0.034,0.3,0.5,0.247,0.747,0.089,0.13
81,0.093,0.19,0.064,0.018,0.012,0.121,13.4,0.18600000000000003,13.6,0.285,0.845,11.2,0.417,0.365,0.582,0.464,0.217,0.986,0.049,0.413,0.054,0.06899999999999999
79,0.05599999999999999,0.17,0.181,0.017,0.008,0.123,23.8,0.315,19,0.388,0.793,19.1,0.455,0.371,0.428,0.141,0.176,0.873,0.057,0.351,0.084,0.424
81,0.101,0.124,0.037,0.01,0.07200000000000001,0.229,4.9,0.08,9.3,0.39,0.652,4.1,0.483,0,0.596,0,0,0,0.178,0.627,0.271,0.10200000000000001
80,0.064,0.135,0.104,0.035,0.009000000000000001,0.115,13.1,0.166,15.5,0.284,0.71,10.7,0.526,0.319,0.549,0.32,0.429,0.934,0.122,0.435,0.05,0.195
83,0.09,0.126,0.044,0.013,0.035,0.217,11.1,0.163,10.7,0.398,0.633,8.1,0.566,0,0.587,0.008,0,0,0.264,0.561,0.22,0.21100000000000002
81,0.08900000000000001,0.203,0.05,0.019,0.02899999999999999,0.092,10.4,0.163,11.3,0.138,0.667,10.7,0.44,0,0.775,0.005,0,0,0.128,0.381,0.177,0.43900000000000006
71,0.01399999999999999,0.053,0.209,0.012,0.004,0.161,8.6,0.154,6.2,0.142,0.938,9.9,0.339,0.263,0.632,0.504,0.175,0.867,0,0.142,0.018,0.337
71,0.011,0.075,0.226,0.012,0.001,0.141,16,0.208,14.9,0.375,0.893,11.7,0.424,0.439,0.151,0.396,0.191,0.861,0,0.277,0.066,0.261
77,0.051,0.118,0.076,0.012,0.015,0.091,16.1,0.187,14.7,0.271,0.808,12.8,0.469,0.448,0.473,0.249,0.257,0.947,0.039,0.351,0.142,0.258
80,0.132,0.16899999999999998,0.069,0.031,0.023,0.134,12.2,0.149,16.8,0.33,0.646,9.1,0.568,0.286,0.657,0.036,0.143,1,0.188,0.736,0.056,0.172
75,0.024,0.097,0.149,0.024,0.003,0.099,21,0.242,19.4,0.256,0.881,16,0.532,0.375,0.449,0.316,0.358,0.9,0,0.337,0.096,0.25
70,0.026,0.1,0.264,0.012,0.002,0.149,13.9,0.202,13.4,0.167,0.753,12.5,0.474,0.357,0.178,0.276,0.149,0.582,0,0.399,0.11,0.21599999999999997
84,0.034,0.16399999999999998,0.064,0.006999999999999999,0.031,0.112,17.6,0.227,14.6,0.278,0.831,14.1,0.468,0.409,0.692,0.304,0.01,0.975,0.047,0.214,0.108,0.375
79,0.046,0.185,0.142,0.012,0.009000000000000001,0.15,13.6,0.183,12.6,0.202,0.743,11.7,0.505,0.343,0.565,0.506,0.346,0.923,0.034,0.234,0.129,0.13
79,0.024,0.101,0.13699999999999998,0.015,0.003,0.21,8.7,0.124,9.2,0.116,0.95,7.2,0.512,0.374,0.714,0.762,0.198,0.959,0.012,0.116,0.041,0.082
