heightInches,pctORB,pctDRB,pctAST,pctTOV,ptsPerMinute,pctUSG,pctFTRate,FG% by Distance 2P,FG% by Distance (3P),% of FGA by Distance 3P,% of FGA by Distance (0-10),% of FGA by Distance (10-3P)
77,0.02799999999999999,0.101,0.055,0.115,10.6,0.145,0.237,0.456,0.402,0.357,0.263,0.38
86,0.062,0.142,0.02799999999999999,0.129,13.8,0.242,0.406,0.373,0,0.029,0.33299999999999996,0.637
83,0.095,0.156,0.093,0.08,17.6,0.237,0.269,0.489,0.25,0.023,0.45599999999999996,0.522
80,0.069,0.123,0.095,0.156,14,0.209,0.339,0.432,0.348,0.188,0.396,0.417
82,0.068,0.145,0.095,0.1,9.7,0.154,0.124,0.432,0,0.006,0.252,0.741
77,0.02899999999999999,0.086,0.126,0.104,17.9,0.208,0.239,0.542,0.409,0.467,0.246,0.28700000000000003
76,0.032,0.107,0.12,0.188,14.6,0.215,0.384,0.51,0.222,0.095,0.758,0.14800000000000002
74,0.016,0.08800000000000001,0.27,0.133,13.2,0.199,0.254,0.417,0.338,0.404,0.41900000000000004,0.177
81,0.149,0.153,0.037,0.156,11.1,0.151,0.48,0.538,0,0.004,0.892,0.104
82,0.134,0.21600000000000005,0.032,0.157,11.1,0.134,0.62,0.56,0.2,0.034,0.836,0.13
81,0.093,0.19,0.064,0.121,13.4,0.18600000000000003,0.285,0.417,0.365,0.464,0.46699999999999997,0.06899999999999999
79,0.05599999999999999,0.17,0.181,0.123,23.8,0.315,0.388,0.455,0.371,0.141,0.435,0.424
81,0.101,0.124,0.037,0.229,4.9,0.08,0.39,0.483,0,0,0.898,0.10200000000000001
80,0.064,0.135,0.104,0.115,13.1,0.166,0.284,0.526,0.319,0.32,0.485,0.195
83,0.09,0.126,0.044,0.217,11.1,0.163,0.398,0.566,0,0.008,0.781,0.21100000000000002
81,0.08900000000000001,0.203,0.05,0.092,10.4,0.163,0.138,0.44,0,0.005,0.558,0.43900000000000006
71,0.01399999999999999,0.053,0.209,0.161,8.6,0.154,0.142,0.339,0.263,0.504,0.15999999999999998,0.337
71,0.011,0.075,0.226,0.141,16,0.208,0.375,0.424,0.439,0.396,0.343,0.261
77,0.051,0.118,0.076,0.091,16.1,0.187,0.271,0.469,0.448,0.249,0.493,0.258
80,0.132,0.16899999999999998,0.069,0.134,12.2,0.149,0.33,0.568,0.286,0.036,0.792,0.172
75,0.024,0.097,0.149,0.099,21,0.242,0.256,0.532,0.375,0.316,0.43300000000000005,0.25
70,0.026,0.1,0.264,0.149,13.9,0.202,0.167,0.474,0.357,0.276,0.509,0.21599999999999997
84,0.034,0.16399999999999998,0.064,0.112,17.6,0.227,0.278,0.468,0.409,0.304,0.322,0.375
79,0.046,0.185,0.142,0.15,13.6,0.183,0.202,0.505,0.343,0.506,0.363,0.13
79,0.024,0.101,0.13699999999999998,0.21,8.7,0.124,0.116,0.512,0.374,0.762,0.157,0.082
80,0.095,0.172,0.043,0.125,15.7,0.2,0.413,0.502,0,0.012,0.508,0.481
83,0.08900000000000001,0.17,0.042,0.114,11.1,0.156,0.254,0.497,0.222,0.028,0.33799999999999997,0.635
80,0.031,0.129,0.1,0.113,7.7,0.099,0.189,0.462,0.384,0.669,0.246,0.08499999999999999
80,0.07,0.118,0.078,0.115,10.5,0.14,0.144,0.513,0.369,0.465,0.383,0.152
75,0.015,0.094,0.182,0.193,12.5,0.209,0.545,0.383,0.259,0.143,0.572,0.28600000000000003
81,0.065,0.198,0.077,0.102,20.1,0.27699999999999997,0.252,0.478,0.407,0.085,0.44899999999999995,0.466
77,0.012,0.075,0.153,0.14800000000000002,15.2,0.193,0.164,0.473,0.397,0.413,0.246,0.341
75,0.02,0.071,0.133,0.12,11.9,0.16,0.153,0.458,0.363,0.458,0.16999999999999998,0.372
77,0.022,0.105,0.101,0.106,12.4,0.163,0.149,0.448,0.421,0.396,0.104,0.5
74,0.016,0.103,0.242,0.106,15.5,0.206,0.17,0.468,0.39,0.426,0.13,0.44499999999999995
84,0.13,0.27399999999999997,0.1,0.149,14.2,0.16899999999999998,0.405,0.579,0,0.002,0.993,0.006
75,0.01399999999999999,0.084,0.289,0.13,18.1,0.217,0.467,0.425,0.408,0.405,0.249,0.34600000000000003
75,0.016,0.084,0.251,0.13699999999999998,12.5,0.17,0.116,0.429,0.427,0.507,0.174,0.319
83,0.085,0.179,0.118,0.14300000000000002,15.1,0.21899999999999997,0.257,0.479,0.238,0.033,0.586,0.381
77,0.02799999999999999,0.156,0.077,0.105,10.3,0.14,0.176,0.425,0.339,0.673,0.259,0.068
84,0.118,0.27699999999999997,0.107,0.193,13.5,0.17800000000000002,0.309,0.577,0,0,0.9079999999999999,0.091
82,0.061,0.17600000000000002,0.068,0.063,12.5,0.146,0.043,0.552,0.44,0.5,0.247,0.254
82,0.123,0.187,0.05,0.11,9.3,0.133,0.397,0.528,0,0,0.846,0.154
81,0.111,0.273,0.114,0.121,18,0.244,0.271,0.49,0,0,0.607,0.393
83,0.087,0.221,0.116,0.102,21.5,0.26899999999999996,0.489,0.497,0.245,0.039,0.449,0.512
79,0.013,0.101,0.037,0.112,5.1,0.07200000000000001,0.139,0.416,0.429,0.524,0.192,0.28300000000000003
79,0.046,0.091,0.109,0.101,15.4,0.188,0.425,0.537,0.259,0.103,0.554,0.34299999999999997
72,0.02,0.07,0.202,0.127,16.1,0.229,0.22,0.428,0.366,0.395,0.404,0.201
74,0.017,0.048,0.209,0.14300000000000002,14,0.213,0.119,0.417,0.346,0.361,0.272,0.366
77,0.043,0.122,0.102,0.131,13.6,0.228,0.319,0.384,0.289,0.31,0.473,0.217
83,0.107,0.24,0.049,0.183,8.8,0.13,0.722,0.533,0,0,0.869,0.13
75,0.02799999999999999,0.081,0.13699999999999998,0.173,15.2,0.214,0.236,0.5,0.378,0.224,0.515,0.261
78,0.035,0.128,0.238,0.097,26.8,0.322,0.329,0.496,0.351,0.196,0.323,0.48
76,0.044,0.139,0.099,0.183,6.4,0.111,0.157,0.444,0.255,0.321,0.44599999999999995,0.23199999999999998
79,0.052,0.138,0.197,0.14300000000000002,19.4,0.259,0.371,0.487,0.31,0.194,0.382,0.424
79,0.023,0.102,0.048,0.065,12.7,0.168,0.137,0.468,0.39,0.447,0.207,0.346
84,0.108,0.201,0.077,0.125,17.8,0.207,0.428,0.56,0,0,0.865,0.136
