idPlayer,namePlayer,heightInches
101165,Alex Acker,77
200801,Hassan Adams,76
201167,Arron Afflalo,77
200772,Maurice Ager,77
201336,Blake Ahearn,74
201582,Alexis Ajinca,86
200746,LaMarcus Aldridge,83
201570,Joe Alexander,80
2124,Malik Allen,82
951,Ray Allen,77
2754,Tony Allen,76
201165,Morris Almond,78
1747,Rafer Alston,74
200811,Lou Amundson,81
2365,Chris Andersen,82
201583,Ryan Anderson,81
2546,Carmelo Anthony,79
201202,Joel Anthony,81
2240,Gilbert Arenas,76
2772,Trevor Ariza,80
200756,Hilton Armstrong,83
201589,Darrell Arthur,81
1088,Chucky Atkins,71
201571,D.J. Augustin,71
101235,Kelenna Azubuike,77
200764,Renaldo Balkman,80
2556,Marcus Banks,74
2571,Leandro Barbosa,75
200826,J.J. Barea,70
200745,Andrea Bargnani,84
2440,Matt Barnes,79
699,Brent Barry,79
101138,Brandon Bass,80
1766,Maceo Baston,82
1499,Tony Battie,83
2203,Shane Battier,80
201587,Nicolas Batum,80
201573,Jerryd Bayless,75
201563,Michael Beasley,81
201158,Marco Belinelli,77
2294,Charlie Bell,75
1952,Raja Bell,77
1710,Mike Bibby,74
2740,Andris Biedrins,84
1497,Chauncey Billups,75
2581,Steve Blake,75
101154,Andray Blatche,83
1548,Mark Blount,84
2586,Keith Bogans,77
101106,Andrew Bogut,84
2588,Matt Bonner,82
200767,Josh Boone,82
1916,Calvin Booth,83
2430,Carlos Boozer,81
2547,Chris Bosh,83
1477,Bruce Bowen,79
1763,Ryan Bowen,81
1882,Elton Brand,81
201147,Corey Brewer,81
200758,Ronnie Brewer,79
201166,Aaron Brooks,72
2810,Andre Brown,81
201628,Bobby Brown,74
200793,Dee Brown,72
2484,Devin Brown,77
2198,Kwame Brown,83
200769,Shannon Brown,75
977,Kobe Bryant,78
1761,Greg Buckner,76
2406,Caron Butler,79
2446,Rasual Butler,79
101115,Andrew Bynum,84
101198,Will Bynum,72
101181,Jose Calderon,75
948,Marcus Camby,83
2073,Brian Cardinal,80
200760,Rodney Carney,79
2679,Matt Carroll,78
1853,Anthony Carter,73
1713,Vince Carter,78
201596,Mario Chalmers,74
2199,Tyson Chandler,84
201163,Wilson Chandler,80
2049,Speedy Claxton,71
2260,Jarron Collins,83
2215,Jason Collins,84
200776,Mardy Collins,78
2555,Nick Collison,82
201144,Mike Conley,73
2567,Brian Cook,81
201161,Daequan Cook,77
2037,Jamal Crawford,77
201621,Joe Crawford,77
201159,Javaris Crittenton,77
1506,Austin Croshere,82
2201,Eddy Curry,84
2223,Samuel Dalembert,83
956,Erick Dampier,83
1498,Antonio Daniels,76
2605,Marquis Daniels,78
201176,Jermareo Davidson,82
1884,Baron Davis,75
201175,Glen Davis,81
200781,Paul Davis,83
1729,Ricky Davis,79
2736,Luol Deng,81
2564,Boris Diaw,80
200821,Yakhouba Diawara,79
101143,Travis Diener,73
101113,Ike Diogu,81
2205,DeSagana Diop,84
2413,Juan Dixon,75
2039,Keyon Dooling,75
200763,Quincy Douby,75
201604,Chris Douglas-Roberts,79
201609,Goran Dragic,75
201162,Jared Dudley,78
2768,Chris Duhon,73
1495,Tim Duncan,83
2399,Mike Dunleavy,81
201142,Kevin Durant,82
101145,Monta Ellis,75
1922,Francisco Elson,84
2408,Melvin Ely,82
2230,Maurice Evans,77
2501,Reggie Evans,80
200770,Jordan Farmar,74
2824,Desmon Farmer,77
101109,Raymond Felton,73
201178,Kyrylo Fesenko,85
714,Michael Finley,79
965,Derek Fisher,73
2551,T.J. Ford,72
1902,Jeff Foster,83
200751,Randy Foye,76
1502,Adonal Foyle,82
101112,Channing Frye,84
2429,Dan Gadzuric,83
201568,Danilo Gallinari,82
101128,Francisco Garcia,79
201242,Thomas Gardner,77
