pctORB,pctDRB,pctAST,pctSTL,pctBLK,pctTOV,ptsPerGame,pctUSG,ratioPER,pctFTRate,pctFT,fgaPerMinute,FG% by Distance 2P,FG% by Distance (3P),% of FG Ast'd 2P,% of FGA by Distance 3P,Corner 3s %3PA,% of FG Ast'd 3P,Dunks,% of FGA by Distance (0-3),% of FGA by Distance (3-10),% of FGA by Distance (10-16),% of FGA by Distance (16-3P)
0.045,0.096,0.102,0.013000000000000001,0.015,0.08,2.9,0.201,10.4,0.132,0.5,13.7,0.411,0.35,0.478,0.263,0.45,0.714,0.013,0.224,0.066,0.118,0.329
0.023,0.134,0.027999999999999997,0.01,0.015,0.204,0.9,0.174,0.4,0.462,0.5,9,0.308,NA,0.5,0,NA,NA,0.077,0.462,0.154,0.154,0.231
0.027999999999999997,0.10099999999999999,0.055,0.013000000000000001,0.8,0.115,4.9,0.145,8.9,0.237,0.817,8.8,0.456,0.402,0.534,0.357,0.654,0.93,0.003,0.24,0.023,0.07,0.31
0.036000000000000004,0.087,0.053,0.6,0.017,0.079,1.7,0.244,2.2,0.186,0.5,16,0.405,0,0.467,0.14,0,NA,0.047,0.442,0.023,0.047,0.349
0,0.062,0.16,0.028999999999999998,0,0.127,2.7,0.201,12.9,0.333,0.01,11.4,0,0.5,NA,0.667,0.25,1,0,0.167,0.167,0,0
0.062,0.142,0.027999999999999997,0.021,0.027000000000000003,0.129,2.3,0.242,7,0.406,0.714,13.6,0.373,0,0.72,0.029,0,NA,0.058,0.174,0.159,0.159,0.478
0.095,0.156,0.09300000000000001,0.013999999999999999,0.02,0.08,18.1,0.237,19.1,0.269,0.781,14.9,0.489,0.25,0.567,0.023,0.643,1,0.098,0.245,0.211,0.179,0.343
0.069,0.12300000000000001,0.095,0.011000000000000001,0.034,0.156,4.7,0.209,10.1,0.339,0.699,12.3,0.432,0.348,0.709,0.188,0.37,0.938,0.061,0.302,0.094,0.18,0.237
0.068,0.145,0.095,0.6,0.017,0.1,3.2,0.154,7.3,0.124,0.476,10.6,0.432,0,0.753,0.006,0,NA,0.029,0.176,0.076,0.288,0.453
0.028999999999999998,0.086,0.126,0.013000000000000001,0.4,0.10400000000000001,18.2,0.20800000000000002,17.3,0.239,0.952,13,0.542,0.409,0.54,0.467,0.379,0.925,0.003,0.188,0.058,0.096,0.191
0.032,0.107,0.12,0.032,0.021,0.188,7.8,0.215,12.9,0.384,0.725,11.5,0.51,0.222,0.519,0.095,0.407,1,0.063,0.585,0.173,0.049,0.099
0.042,0.126,0.042,0.8,0.012,0.14800000000000002,3.7,0.191,7.3,0.321,0.808,11.4,0.438,0.294,0.857,0.21,0.588,1,0.012,0.37,0.099,0.074,0.247
0.016,0.08800000000000001,0.27,0.023,0.3,0.133,11.7,0.19899999999999998,13.8,0.254,0.75,12.1,0.417,0.338,0.118,0.404,0.097,0.804,0,0.279,0.14,0.051,0.126
0.149,0.153,0.037000000000000005,0.015,0.046,0.156,4.2,0.151,13.3,0.48,0.442,8.6,0.538,0,0.701,0.004,0,NA,0.168,0.728,0.164,0.06,0.044
0.134,0.21600000000000003,0.032,0.013999999999999999,0.09300000000000001,0.157,6.4,0.134,18.1,0.62,0.718,7.2,0.56,0.2,0.639,0.034,0.3,0.5,0.247,0.747,0.089,0.065,0.065
0.09300000000000001,0.19,0.064,0.018000000000000002,0.012,0.121,7.4,0.18600000000000003,13.6,0.285,0.845,11.2,0.417,0.365,0.582,0.464,0.217,0.986,0.049,0.413,0.054,0.01,0.059
0.055999999999999994,0.17,0.18100000000000002,0.017,0.8,0.12300000000000001,22.8,0.315,19,0.388,0.793,19.1,0.455,0.371,0.428,0.141,0.176,0.873,0.057,0.351,0.084,0.132,0.292
0.10099999999999999,0.124,0.037000000000000005,0.01,0.07200000000000001,0.22899999999999998,2.2,0.08,9.3,0.39,0.652,4.1,0.483,NA,0.596,0,NA,NA,0.178,0.627,0.271,0.068,0.034
0.018000000000000002,0.153,0.478,0,0.013000000000000001,0.032,13,0.22399999999999998,18.9,0.696,0.75,13.1,0.25,0.286,0.25,0.304,0.143,1,0,0.304,0.087,0,0.304
0.064,0.135,0.10400000000000001,0.035,0.9,0.115,8.9,0.166,15.5,0.284,0.71,10.7,0.526,0.319,0.549,0.32,0.429,0.934,0.122,0.435,0.05,0.037,0.158
0.09,0.126,0.044000000000000004,0.013000000000000001,0.035,0.217,4.8,0.163,10.7,0.398,0.633,8.1,0.566,0,0.587,0.008,0,NA,0.264,0.561,0.22,0.138,0.073
0.08900000000000001,0.203,0.05,0.019,0.028999999999999998,0.092,5.6,0.163,11.3,0.138,0.667,10.7,0.44,0,0.775,0.005,0,NA,0.128,0.381,0.177,0.161,0.278
0.013999999999999999,0.053,0.209,0.012,0.4,0.161,3,0.154,6.2,0.142,0.938,9.9,0.339,0.263,0.632,0.504,0.175,0.867,0,0.142,0.018,0.027,0.31
0.011000000000000001,0.075,0.226,0.012,0.1,0.141,11.8,0.20800000000000002,14.9,0.375,0.893,11.7,0.424,0.439,0.151,0.396,0.191,0.861,0,0.277,0.066,0.079,0.182
0.051,0.11800000000000001,0.076,0.012,0.015,0.091,14.4,0.187,14.7,0.271,0.808,12.8,0.469,0.448,0.473,0.249,0.257,0.947,0.039,0.351,0.142,0.073,0.185
0.132,0.16899999999999998,0.069,0.031,0.023,0.134,5,0.149,16.8,0.33,0.646,9.1,0.568,0.286,0.657,0.036,0.143,1,0.188,0.736,0.056,0.02,0.152
0.6,0.099,0.20600000000000002,0.027999999999999997,0.8,0.177,2.5,0.179,7.8,0.316,0.611,10,0.474,0.158,0.222,0.333,0.526,0.667,0,0.368,0.035,0.018,0.246
0.024,0.09699999999999999,0.149,0.024,0.3,0.099,14.2,0.242,19.4,0.256,0.881,16,0.532,0.375,0.449,0.316,0.358,0.9,0,0.337,0.096,0.092,0.158
0.026000000000000002,0.1,0.264,0.012,0.2,0.149,7.8,0.20199999999999999,13.4,0.167,0.753,12.5,0.474,0.357,0.178,0.276,0.149,0.582,0,0.399,0.11,0.074,0.142
0.034,0.16399999999999998,0.064,0.7,0.031,0.11199999999999999,15.4,0.22699999999999998,14.6,0.278,0.831,14.1,0.468,0.409,0.692,0.304,0.01,0.975,0.047,0.214,0.108,0.115,0.26
0.046,0.185,0.142,0.012,0.9,0.15,10.2,0.183,12.6,0.202,0.743,11.7,0.505,0.343,0.565,0.506,0.346,0.923,0.034,0.234,0.129,0.053,0.077
0.024,0.10099999999999999,0.13699999999999998,0.015,0.3,0.21,3.7,0.124,9.2,0.116,0.95,7.2,0.512,0.374,0.714,0.762,0.198,0.959,0.012,0.116,0.041,0.041,0.041
0.095,0.172,0.043,0.9,0.026000000000000002,0.125,8.5,0.2,16.4,0.413,0.867,11.6,0.502,0,0.698,0.012,0,NA,0.157,0.404,0.104,0.211,0.27
0.111,0.154,0.046,0.013999999999999999,0.034,0.172,2.5,0.14,12.3,0.587,0.63,7.6,0.556,0,0.68,0.022,0,NA,0.174,0.609,0.174,0.152,0.043
0.08900000000000001,0.17,0.042,0.011000000000000001,0.015,0.114,4.8,0.156,11.9,0.254,0.659,9.7,0.497,0.222,0.712,0.028,0.333,1,0.096,0.251,0.087,0.229,0.406
